459,348,98,54,57
230,244,60,68,31
377,311,89,25,52
345,431,10,16,73
442,313,69,23,71
445,185,22,31,53
444,205,99,83,59
359,281,9,13,35
334,278,5,11,13
335,204,20,5,51
493,319,3,53,60
196,439,37,47,3
377,272,29,9,99
429,277,77,26,54
328,57,79,81,81
452,214,14,3,89
392,146,4,96,6
296,257,91,7,38
417,357,7,6,82
370,467,16,42,15
354,497,64,34,17
321,287,72,59,10
406,264,63,56,56
196,389,75,24,55
356,353,13,46,37
340,384,44,8,26
299,385,56,17,68
471,137,48,10,39
319,359,15,49,96
459,289,35,72,40
507,216,70,76,20
382,223,86,94,76
430,440,61,15,43
470,210,50,4,44
391,163,95,84,49
459,323,81,90,14
261,521,30,39,91
522,302,21,69,69
291,333,41,95,74
198,196,52,40,34
552,484,24,48,33
393,313,87,88,5
449,358,71,44,90
360,195,27,71,27
287,393,84,35,70
61,342,6,20,21
468,172,53,65,85
368,304,23,55,45
378,250,83,41,67
444,312,17,67,97
243,272,47,30,88
319,279,45,77,58
526,186,11,62,41
465,264,93,70,66
259,384,80,45,98
157,491,67,2,1
337,172,34,82,42
423,561,49,85,64
503,467,96,80,25
410,318,66,52,84
276,266,19,21,2
433,223,39,37,24
271,391,68,27,86
294,223,62,28,77
328,249,92,66,93
264,397,94,18,61
370,347,54,43,46
301,398,65,89,12
368,355,33,51,11
349,255,73,97,32
354,243,38,50,22
344,387,76,19,94
535,226,58,33,28
467,430,42,60,16
406,386,51,87,95
238,331,1,74,30
221,300,12,38,48
183,340,82,75,8
506,287,97,93,36
428,128,26,78,78
292,510,40,29,87
273,367,43,98,19
460,228,78,63,75
572,587,57,12,50
213,360,74,22,23
350,332,85,61,62
390,214,28,99,9
180,182,8,32,29
492,105,18,14,79
354,253,32,79,72
610,184,31,86,18
357,371,2,73,83
445,265,36,57,7
274,494,59,64,4
331,466,88,91,80
271,318,55,1,47
443,268,90,58,92
543,426,46,36,63
334,173,25,92,65
